W(i - 2)	T(i - 2)	W(i - 1)	T(i - 1)	W(i + 1)	T(i + 1)	W(i + 2)	T(i + 2)
region	NN	bordering	NN	.	.	*	END
traveling	VBG	in	IN	Waziristan	NN	Sunday	NNP
in	IN	South	NNP	Sunday	NNP	when	WRB
militants	NNS	in	IN	Waziristan	NN	.	.
in	IN	South	NNP	.	.	*	END
ousted	VBN	in	IN	in	IN	2001	CD
official	NN	says	VBZ	wants	VBZ	to	TO
with	IN	the	DT	States	NNS	.	.
the	DT	United	NNP	.	.	*	END
he	PRP	says	VBZ	is	VBZ	not	RB
states	NNS	including	VBG	,	,	Libya	NN
Iran	NN	,	,	and	CC	North	NN
Libya	NN	and	CC	Korea	NNP	.	.
and	CC	North	NN	.	.	*	END
reporters	NNS	in	IN	.	.	*	END
arrest	NN	in	IN	,	,	but	CC
father	NN	of	IN	's	POS	nuclear	JJ
support	NN	to	TO	troops	NNS	in	IN
troops	NNS	in	IN	and	CC	elsewhere	RB
reports	NNS	from	IN	.	.	*	END
immediately	RB	in	IN	,	,	and	CC
Nations	NNS	and	CC	Union	NNP	in	IN
and	CC	African	JJ	in	IN	Khartoum	NNP
Union	NNP	in	IN	Sunday	NNP	.	.
forces	NNS	in	IN	accused	VBN	Sudanese	JJ
in	IN	the	DT	Darfur	NN	village	NN
the	DT	South	NNP	village	NN	of	IN
village	NN	of	IN	.	.	*	END
suspended	VBN	in	IN	Darfur	NN	due	JJ
in	IN	South	NNP	due	JJ	to	TO
October	NNP	1	CD	bombings	NNS	that	IN
flown	NN	to	TO	from	IN	neighboring	VBG
from	IN	neighboring	VBG	island	NN	for	IN
questioning	VBG	at	IN	police	NNS	headquarters	NNS
week	NN	in	IN	.	.	*	END
attacks	NNS	in	IN	as	IN	well	RB
in	IN	Islamist-controlled	JJ	,	,	Somalia	NN
Mogadishu	NN	,	,	.	.	*	END
in	IN	southern	JJ	.	.	*	END
*	START	In	IN	,	,	a	DT
Authorities	NNS	in	IN	have	VB	not	RB
in	IN	the	DT	tribal	NN	region	NN
in	IN	nearby	RB	Waziristan	NN	.	.
nearby	RB	South	NNP	.	.	*	END
offensive	JJ	in	IN	to	TO	hunt	NN
checkpoint	NN	in	IN	.	.	*	END
in	IN	the	DT	region	NN	along	IN
*	START	The	DT	military	JJ	in	IN
military	JJ	in	IN	says	VBZ	coalition	NN
province	NN	of	IN	.	.	*	END
including	VBG	a	DT	soldier	NN	,	,
killed	VBN	by	IN	troops	NNS	in	IN
in	IN	eastern	JJ	province	NN	.	.
city	NN	of	IN	.	.	*	END
operate	NN	in	IN	Afghanistan	NNP	and	CC
in	IN	northern	JJ	and	CC	the	DT
died	VBD	in	IN	from	IN	exposure	NN
*	*	*	START	's	POS	Itar-Tass	NN
is	VBZ	affecting	VBG	,	,	the	DT
states	NNS	of	IN	,	,	Latvia	NN
Lithuania	NNP	,	,	and	CC	Estonia	NN
Latvia	NN	and	CC	,	,	and	CC
effect	NN	around	IN	.	.	*	END
officials	NNS	in	IN	say	VB	a	DT
man	NN	from	IN	's	POS	northern	JJ
influenza	NN	in	IN	this	DT	year	NN
occurred	VBD	in	IN	.	.	*	END
Witnesses	NNS	in	IN	say	VB	insurgents	NNS
streets	NNS	of	IN	,	,	after	IN
in	IN	southern	JJ	.	.	*	END
*	*	*	START	deployed	NN	soldiers	NNS
soldiers	NNS	to	TO	last	JJ	December	NNP
troops	NNS	to	TO	to	TO	replace	VB
deal	NN	before	IN	President	NNP	George	NNP
agreement	NN	with	IN	before	IN	Mr.	NNP
in	IN	the	DT	Bank	NNP	that	IN
the	DT	West	NNP	that	IN	there	RB
guerrillas	NNS	in	IN	.	.	*	END
operations	NNS	in	IN	.	.	'	''
institute	NN	says	VBZ	is	VBZ	building	NN
in	IN	the	DT	district	NN	of	IN
district	NN	of	IN	province	NN	.	.
reports	NNS	,	,	is	VBZ	now	RB
*	*	*	START	's	POS	Foreign	NN
*	*	*	START	and	CC	Panama	NN
Cuba	NNP	and	CC	have	VB	said	VBD
months	NNS	after	IN	broke	NN	ties	NNS
ties	NNS	with	IN	City	NNP	for	IN
with	IN	Panama	NN	for	IN	pardoning	VBG
Summit	NN	in	IN	Jose	VB	,	,
in	IN	San	NNP	,	,	Costa	NN
Jose	VB	,	,	Rica	NNP	,	,
,	,	Costa	NN	,	,	where	WRB
*	*	*	START	severed	VBN	ties	NNS
ties	NNS	with	IN	in	IN	August	NNP
extradition	NN	to	TO	.	.	*	END
summit	NN	in	IN	City	NNP	.	.
in	IN	Panama	NN	.	.	*	END
the	DT	northern	JJ	Strip	NN	and	CC
northern	JJ	Gaza	NN	and	CC	wounded	VBD
rockets	NNS	at	IN	recently	RB	.	.
offensive	JJ	in	IN	after	IN	militants	NNS
not	RB	recognize	VB	.	.	*	END
to	TO	recognize	VB	in	IN	exchange	NN
*	*	*	START	automaker	NN	Chrysler	NNP
in	IN	northern	JJ	.	.	*	END
of	IN	the	DT	plant	NN	Friday	NNP
plant	NN	in	IN	will	MD	create	NN
Calderon	NNP	said	VBD	has	VBZ	become	NN
*	START	A	DT	jury	NN	has	VBZ
*	START	The	DT	Jersey	NNP	jurists	NNS
The	DT	New	NNP	jurists	NNS	agreed	VBD
lawsuits	NNS	over	IN	.	.	*	END
band	NN	Good	JJ	.	.	*	END
state	NN	of	IN	,	,	a	DT
war	NN	in	IN	,	,	says	VBZ
war	NN	in	IN	.	.	*	END
withdrawing	VBG	some	DT	troops	NNS	from	IN
troops	NNS	from	IN	.	.	*	END
as	IN	a	DT	senator	NN	.	.
industries	NNS	in	IN	,	,	Maldives	NNS
Indonesia	NN	,	,	,	,	Somalia	NN
Maldives	NNS	,	,	,	,	Sri	NN
Somalia	NN	,	,	Lanka	NN	and	CC
,	,	Sri	NN	and	CC	Thailand	NN
Lanka	NN	and	CC	.	.	*	END
Officials	NNS	in	IN	say	VB	another	DT
town	NN	of	IN	,	,	on	IN
outskirts	NNS	of	IN	.	.	*	END
west	NN	of	IN	died	VBD	of	IN
city	NN	of	IN	.	.	*	END
*	*	*	START	says	VBZ	it	PRP
violence	NN	in	IN	's	POS	Muslim-majority	NN
in	IN	neighboring	VBG	.	.	*	END
training	NN	in	IN	's	POS	northern	JJ
's	POS	northern	JJ	state	NN	,	,
borders	NNS	southern	JJ	.	.	*	END
said	VBD	if	IN	wants	VBZ	to	TO
photos	NNS	,	,	will	MD	provide	NN
trained	VBN	in	IN	,	,	Indonesia	NN
Malaysia	NN	,	,	and	CC	southern	JJ
and	CC	southern	JJ	.	.	*	END
*	*	*	START	and	CC	Indonesia	NN
Malaysia	NN	and	CC	have	VB	demanded	VBD
proof	NN	of	IN	's	POS	allegations	NNS
Muslims	NNS	in	IN	and	CC	Malaysia	NN
Indonesia	NN	and	CC	.	.	*	END
city	NN	of	IN	turned	VBD	violent	NN
streets	NNS	of	IN	as	IN	part	NN
protests	NNS	over	IN	's	POS	bid	NN
Council	NN	and	CC	's	POS	alleged	VBN
*	START	In	IN	,	,	police	NNS
agency	NN	that	IN	's	POS	government	NN
*	*	*	START	's	POS	Foreign	NN
Sunday	NNP	in	IN	for	IN	talks	NNS
Olympics	NNS	in	IN	have	VB	promised	VBN
Blair	NN	said	VBD	is	VBZ	farther	NN
substantially	RB	since	IN	won	NN	the	DT
*	*	*	START	's	POS	giant	NN
wild	NN	in	IN	.	.	*	END
one	CD	of	IN	's	POS	national	JJ
home	NN	in	IN	province	NN	.	.
in	IN	southern	JJ	.	.	*	END
area	NN	near	IN	Saturday	NNP	.	.
out	IN	of	IN	.	.	*	END
Friday	NNP	in	IN	,	,	hours	NNS
columnist	NN	for	IN	Lanka	NN	's	POS
for	IN	Sri	NN	's	POS	english	JJ
on	IN	the	DT	Lankan	NN	civil	JJ
the	DT	Sri	NN	civil	JJ	war	NN
*	*	*	START	and	CC	North	NN
Japan	NNP	and	CC	Korea	NNP	say	VB
and	CC	North	NN	say	VB	they	PRP
talks	NNS	in	IN	in	IN	early	RB
talks	NNS	on	IN	Korea	NNP	's	POS
on	IN	North	NN	's	POS	nuclear	JJ
*	*	*	START	and	CC	North	NN
Japan	NNP	and	CC	Korea	NNP	have	VB
and	CC	North	NN	have	VB	not	RB
*	*	*	START	and	CC	Pyongyang	NN
Tokyo	NNP	and	CC	are	VBP	at	IN
odds	NNS	over	IN	Korea	NNP	's	POS
over	IN	North	NN	's	POS	nuclear	JJ
forces	NNS	in	IN	of	IN	failing	VBG
invasion	NN	of	IN	.	.	*	END
at	IN	a	DT	military	JJ	base	NN
outskirts	NNS	of	IN	.	.	*	END
*	*	*	START	's	POS	government	NN
*	*	*	START	has	VBZ	had	VBD
outside	IN	of	IN	.	.	*	END
into	IN	the	DT	oil-for-food	NN	program	NN
with	IN	the	DT	government-funded	JJ	alHurra	NN
to	TO	allow	VB	to	TO	sell	NN
*	*	*	START	's	POS	Justice	NN
prison	NN	near	IN	after	IN	inmates	NNS
also	RB	near	IN	,	,	remained	VBD
off	IN	from	IN	Europe	NNP	has	VBZ
from	IN	Western	JJ	has	VBZ	landed	VBD
landed	VBD	in	IN	for	IN	the	DT
operated	VBN	by	IN	's	POS	Aigle	NN
off	IN	from	IN	De	NNP	Gaulle	NNP
from	IN	Charles	NNP	Gaulle	NNP	airport	NN
Charles	NNP	De	NNP	airport	NN	in	IN
De	NNP	Gaulle	NNP	in	IN	Paris	NNP
airport	NN	in	IN	late	RB	Saturday	NNP
down	RB	at	IN	International	NNP	Airport	NN
at	IN	Baghdad	NN	Airport	NN	early	RB
Baghdad	NN	International	NNP	early	RB	Sunday	NNP
cooperation	NN	between	IN	and	CC	Iraq	NN
service	NN	between	IN	and	CC	Baghdad	NN
Paris	NNP	and	CC	is	VBZ	not	RB
flying	VBG	to	TO	.	.	*	END
flying	VBG	to	TO	earlier	RBR	this	DT
report	NN	shows	NNS	businesses	NNS	added	VBD
showed	VBD	the	DT	unemployment	NN	rate	NN
,	,	the	DT	central	JJ	bank	NN
has	VBZ	denounced	VBD	's	POS	defense	NN
of	IN	the	DT	States	NNS	.	.
the	DT	United	NNP	.	.	*	END
he	PRP	hoped	VBD	would	MD	follow	VB
March	NNP	when	WRB	attacked	VBN	a	DT
camp	NN	in	IN	.	.	*	END
*	*	*	START	responded	VBD	by	IN
*	*	*	START	has	VBZ	lashed	VBN
at	IN	a	DT	report	NN	critical	JJ
could	MD	harm	NN	-	:	China	NNP
U.S.	NNP	-	:	relations	NNS	.	.
Freedom	NN	said	VBD	continues	VBZ	to	TO
accused	VBN	the	DT	body	NN	of	IN
development	NN	of	IN	-	:	China	NNP
U.S	NN	-	:	relations	NNS	.	.
Liu	NN	said	VBD	protects	NNS	the	DT
*	*	*	START	's	POS	communist	NN
sentences	NNS	while	IN	president	NN	.	.
*	*	*	START	's	POS	government	NN
talks	NNS	in	IN	.	.	*	END
in	IN	northern	JJ	.	.	*	END
Classic	JJ	in	IN	.	.	*	END
headquarters	NNS	in	IN	Friday	NNP	say	VB
information	NN	from	IN	-	:	operated	VBN
streets	NNS	in	IN	after	IN	his	PRP$
*	*	*	START	's	POS	military	JJ
*	*	*	START	President	NNP	Barack	NN
become	NN	the	DT	.	.	Surgeon	NN
meeting	NN	in	IN	have	VB	approved	VBN
located	VBN	in	IN	.	.	*	END
relief	NN	are	VBP	,	,	Bolivia	NN
Benin	NN	,	,	,	,	Burkina	NNP
Faso	NN	,	,	,	,	Ghana	NNP
Ethiopia	NN	,	,	,	,	Guyana	NNP
Ghana	NNP	,	,	,	,	Honduras	NNS
Guyana	NNP	,	,	,	,	Madagascar	NN
Honduras	NNS	,	,	,	,	Mali	NN
Madagascar	NN	,	,	,	,	Mozambique	NN
Mali	NN	,	,	,	,	Nicaragua	NN
Mozambique	NN	,	,	,	,	Niger	NN
Nicaragua	NN	,	,	,	,	Rwanda	NN
Niger	NN	,	,	,	,	Senegal	NN
Rwanda	NN	,	,	,	,	Tanzania	NN
Senegal	NN	,	,	,	,	Uganda	NN
Tanzania	NN	,	,	and	CC	Zambia	NN
Uganda	NN	and	CC	.	.	*	END
schools	NNS	in	IN	for	IN	two	CD
TV	NN	says	VBZ	's	POS	Air	NNP
in	IN	from	IN	Arabia	NNP	and	CC
from	IN	Saudi	NN	and	CC	neighboring	VBG
and	CC	neighboring	VBG	,	,	where	WRB
capital	NN	,	,	.	.	*	END
nightclub	NN	in	IN	Aviv	NN	.	.
in	IN	Tel	NN	.	.	*	END
Abbas	NN	in	IN	vowed	NN	to	TO
Sharon	NN	in	IN	earlier	RBR	this	DT
agreement	NN	with	IN	to	TO	build	NN
island	NN	of	IN	off	IN	the	DT
coast	NN	of	IN	New	NNP	Guinea	NN
of	IN	Papua	NN	Guinea	NN	.	.
Papua	NN	New	NNP	.	.	*	END
into	IN	some	DT	orbits	NNS	.	.
to	TO	visit	NN	.	.	*	END
Monday	NNP	in	IN	for	IN	terrorist	NN
on	IN	the	DT	subway	NN	in	IN
on	IN	the	DT	metro	NN	.	.
sentence	NN	in	IN	after	IN	he	PRP
operated	VBN	from	IN	where	WRB	investigators	NNS
extradition	NN	to	TO	for	IN	10	CD
on	IN	the	DT	subway	NN	,	,
return	NN	to	TO	by	IN	April	NNP
several	JJ	involving	VBG	reached	VBN	this	DT
agency	NN	and	CC	's	POS	neighbors	NNS
Republic	JJ	of	IN	,	,	and	CC
currently	RB	in	IN	.	.	*	END
Police	NNS	in	IN	say	VB	a	DT
city	NN	of	IN	.	.	*	END
to	TO	leave	VB	.	.	*	END
return	NN	to	TO	,	,	and	CC
home	NN	of	IN	's	POS	prime	NN
place	NN	in	IN	where	WRB	Mr.	NNP
bombings	NNS	in	IN	when	WRB	he	PRP
In	IN	the	DT	3	CD	interview	NN
in	IN	the	DT	attacks	NNS	prove	NN
al-Qaida	NN	chief	NN	bin	NN	Laden	NNP
chief	NN	Osama	NN	Laden	NNP	has	VBZ
Osama	NN	bin	NN	has	VBZ	reached	VBN
*	*	*	START	's	POS	defense	NN
the	DT	top	NN	military	JJ	commander	NN
who	WP	said	VBD	has	VBZ	not	RB
force	NN	against	IN	to	TO	prevent	NN
Sunday	NNP	that	IN	U.S.	NNP	has	VBZ
that	IN	the	DT	has	VBZ	a	DT
to	TO	strike	NN	.	.	*	END
Tuesday	NNP	that	IN	threats	NNS	to	TO
warned	VBD	that	IN	has	VBZ	drawn	NN
*	START	The	DT	States	NNS	and	CC
The	DT	United	NNP	and	CC	other	JJ
countries	NNS	accuse	NN	of	IN	secretly	RB
a	DT	charge	NN	denies	NNS	.	.
*	*	*	START	's	POS	president	NN
supplies	NNS	from	IN	to	TO	help	NN
gas	NN	from	IN	is	VBZ	expected	VBN
flowing	VBG	into	IN	beginning	VBG	Sunday	NNP
*	*	*	START	is	VBZ	heavily	RB
agreement	NN	with	IN	shows	NNS	his	PRP$
*	*	*	START	's	POS	former	JJ
consulate	NN	in	IN	Wednesday	NNP	,	,
fled	VBN	to	TO	in	IN	2000	CD
wanted	VBD	in	IN	to	TO	face	NN
Fujimori	NNS	,	,	's	POS	hard-line	NN
*	*	*	START	has	VBZ	refused	VBD
requests	NNS	from	IN	for	IN	his	PRP$
Embassy	NN	in	IN	's	POS	capital	NN
capital	NN	,	,	.	.	*	END
travel	NN	to	TO	.	.	*	END
embassy	NN	in	IN	,	,	shouting	VBG
across	IN	the	DT	East	NN	as	IN
the	DT	Middle	NNP	as	IN	well	RB
as	IN	in	IN	,	,	Pakistan	NN
India	NNP	,	,	,	,	Afghanistan	NNP
Pakistan	NN	,	,	,	,	Bangladesh	NNP
Afghanistan	NNP	,	,	,	,	Malaysia	NN
Bangladesh	NNP	,	,	,	,	and	CC
,	,	and	CC	.	.	*	END
*	START	In	IN	,	,	a	DT
in	IN	northwestern	JJ	rose	VBD	to	TO
*	*	*	START	's	POS	state-run	NN
mine	NN	in	IN	province	NN	on	IN
*	*	*	START	and	CC	Pakistan	NN
India	NNP	and	CC	plan	NN	to	TO
,	,	the	DT	issue	NN	and	CC
spokeswoman	NN	in	IN	also	RB	said	VBD
forces	NNS	in	IN	and	CC	a	DT
self-rule	NN	in	IN	.	.	*	END
*	*	*	START	has	VBZ	not	RB
in	IN	central	JJ	Tuesday	NNP	.	.
as	IN	the	DT	military	JJ	announced	VBD
towns	NNS	across	IN	.	.	*	END
driver	NN	in	IN	.	.	*	END
*	*	*	START	's	POS	hard-line	NN
talks	NNS	with	IN	that	IN	Iran	NN
Europe	NNP	that	IN	said	VBD	it	PRP
,	,	when	WRB	restarted	VBN	converting	VBG
year	NN	,	,	suspended	VBN	enrichment	NN
in	IN	a	DT	hospital	NN	,	,
flown	NN	to	TO	Tuesday	NNP	after	IN
while	IN	in	IN	for	IN	an	DT
crisis	NN	in	IN	,	,	and	CC
pressure	NN	on	IN	.	.	*	END
served	VBD	as	IN	's	POS	president	NN
*	*	*	START	President	NNP	Barack	NN
outside	IN	of	IN	,	,	D.C	NN
Washington	NNP	,	,	.	.	*	END
Authorities	NNS	in	IN	say	VB	they	PRP
town	NN	of	IN	.	.	*	END
town	NN	of	IN	on	IN	suspicion	NN
*	START	The	DT	killings	NNS	are	VBP
tribunal	NN	in	IN	Hague	NN	has	VBZ
in	IN	The	DT	has	VBZ	already	RB
*	*	*	START	's	POS	official	NN
part	NN	of	IN	province	NN	,	,
to	TO	visit	NN	to	TO	investigate	NN
visit	NN	to	TO	would	MD	allow	VB
*	*	*	START	has	VBZ	not	RB
Meanwhile	RB	,	,	's	POS	revered	VBN
up	RB	in	IN	's	POS	three	CD
's	POS	three	CD	southern	JJ	provinces	NNS
the	DT	southern	JJ	Strip	NN	.	.
southern	JJ	Gaza	NN	.	.	*	END
separating	VBG	southern	JJ	with	IN	Israel	NNP
Gaza	NN	with	IN	.	.	*	END
in	IN	the	DT	Bank	NNP	city	NN
the	DT	West	NNP	city	NN	of	IN
city	NN	of	IN	.	.	*	END
through	IN	the	DT	refugee	NN	camps	NNS
head	NN	of	IN	troops	NNS	in	IN
Horn	NNP	of	IN	says	VBZ	terrorists	NNS
zones	NNS	in	IN	and	CC	Iraq	NN
Afghanistan	NNP	and	CC	and	CC	head	NN
for	IN	east	NN	.	.	*	END
in	IN	east	NN	could	MD	draw	NN
force	NN	in	IN	has	VBZ	been	VBN
However	RB	,	,	forces	NNS	have	VB
to	TO	enter	NN	,	,	which	WDT
out	IN	of	IN	's	POS	capital	NN
capital	NN	,	,	.	.	*	END
Thursday	NNP	in	IN	,	,	southern	JJ
,	,	southern	JJ	.	.	*	END
in	IN	northern	JJ	.	.	*	END
al-Qaida	NN	in	IN	is	VBZ	denying	VBG
capital	NN	,	,	.	.	*	END
*	START	The	DT	States	NNS	did	VBD
The	DT	United	NNP	did	VBD	not	RB
addition	NN	,	,	military	JJ	commander	NN
al-Qaida	NN	in	IN	.	.	*	END
*	*	*	START	military	JJ	officials	NNS
at	IN	the	DT	naval	NN	base	NN
base	NN	in	IN	Bay	NN	,	,
in	IN	Guantanamo	NN	,	,	Cuba	NNP
Bay	NN	,	,	.	.	*	END
*	*	*	START	military	JJ	officials	NNS
detainees	NNS	at	IN	,	,	where	WRB
in	IN	southern	JJ	has	VBZ	killed	VBN
blast	NN	in	IN	province	NN	.	.
remnants	NNS	of	IN	's	POS	ousted	VBN
attacks	NNS	on	IN	.	.	*	END
into	IN	southern	JJ	.	.	*	END
in	IN	the	DT	Strip	NN	stormed	VBN
the	DT	Gaza	NN	stormed	VBN	a	DT
gunmen	NNS	in	IN	kidnapped	VBD	an	DT
troops	NNS	in	IN	have	VB	captured	VBN
*	*	*	START	officials	NNS	say	VB
attacks	NNS	on	IN	's	POS	Green	JJ
curfew	NN	in	IN	,	,	because	IN
city	NN	of	IN	Afar	NN	,	,
of	IN	Tal	NN	,	,	a	DT
*	START	The	DT	military	JJ	says	VBZ
al-Qaida	NN	in	IN	leaders	NNS	involved	VBN
north	NN	of	IN	in	IN	Kirkuk	NNP
Baghdad	NN	in	IN	province	NN	,	,
towns	NNS	of	IN	and	CC	Judaidah	NN
*	START	The	DT	military	JJ	also	RB
and	CC	around	IN	's	POS	Sadr	NN
Baghdad	NN	's	POS	City	NNP	district	NN
's	POS	Sadr	NN	district	NN	,	,
Sadr	NN	City	NNP	,	,	a	DT
Shi'ite	NN	cleric	NN	al-Sadr	NN	.	.
cleric	NN	Moqtada	NNP	.	.	*	END
*	*	*	START	and	CC	Iraqi	NN
militants	NNS	in	IN	City	NNP	in	IN
in	IN	Sadr	NN	in	IN	recent	JJ
,	,	in	IN	's	POS	Darfur	NN
Sudan	NN	's	POS	region	NN	.	.
deterioration	NN	in	IN	's	POS	security	NN
dead	JJ	in	IN	Darfur	NN	.	.
in	IN	North	NN	.	.	*	END
been	VBN	pressing	VBG	to	TO	accept	NN
force	NN	in	IN	.	.	*	END
today	NN	in	IN	.	.	*	END
Separately	RB	,	,	officials	NNS	say	VB
*	START	The	DT	government	NN	is	VBZ
insurance	NN	,	,	companies	NNS	are	VBP
education	NN	in	IN	's	POS	Punjab	NN
Pakistan	NN	's	POS	province	NN	.	.
*	START	A	DT	immigration	NN	judge	NN
operative	JJ	from	IN	.	.	*	END
*	*	*	START	authorities	NNS	arrested	VBN
country	NN	through	IN	.	.	*	END
wanted	VBD	in	IN	for	IN	his	PRP$
May	NNP	,	,	officials	NNS	rejected	VBN
are	VBP	hurting	VBG	's	POS	image	NN
have	VB	said	VBD	should	MD	do	VB
madrassas	NN	in	IN	must	MD	be	VB
*	*	*	START	health	NN	officials	NNS
outside	IN	the	DT	States	NNS	as	IN
the	DT	United	NNP	as	IN	well	RB
for	IN	giving	VBG	health	NN	officials	NNS
people	NNS	in	IN	since	IN	2003	CD
town	NN	of	IN	in	IN	January	NNP
city	NN	of	IN	.	.	*	END
name	NN	'	''	'	''	originates	NNS
by	IN	the	DT	and	CC	many	JJ
*	*	*	START	reestablished	VBN	its	PRP$
of	IN	the	DT	Union	NNP	.	.
the	DT	Soviet	JJ	.	.	*	END
concern	NN	to	TO	.	.	*	END
*	*	*	START	joined	VBD	both	DT
*	*	*	START	is	VBZ	one	CD
countries	NNS	in	IN	America	NNP	.	.
in	IN	Latin	NN	.	.	*	END
to	TO	export	NN	's	POS	newly	RB
Nevertheless	RB	,	,	recorded	VBN	the	DT
rate	NN	in	IN	America	NNP	that	IN
in	IN	South	NNP	that	IN	year	NN
of	IN	southern	JJ	was	VBD	guaranteed	NN
*	*	*	START	recently	RB	surpassed	VBN
recently	RB	surpassed	VBN	as	IN	the	DT
laborers	NNS	from	IN	between	IN	1845	CD
oil	NN	on	IN	in	IN	1910	CD
in	IN	the	DT	thanks	NNS	largely	RB
mostly	RB	in	IN	,	,	is	VBZ
them	PRP	to	TO	to	TO	face	NN
place	NN	in	IN	.	.	*	END
coast	NN	of	IN	Wednesday	NNP	after	IN
*	*	*	START	is	VBZ	prosecuting	VBG
others	NNS	to	TO	,	,	including	VBG
*	*	*	START	says	VBZ	it	PRP
investigators	NNS	from	IN	's	POS	Health	NNP
*	*	*	START	's	POS	Health	NNP
archipelago	NN	of	IN	.	.	*	END
*	*	*	START	's	POS	Prime	NNP
Wednesday	NNP	in	IN	and	CC	parts	NNS
and	CC	northern	JJ	meant	NN	to	TO
out	IN	in	IN	.	.	*	END
al-Qaida	NN	in	IN	)	)	claimed	NN
*	START	The	DT	military	JJ	reported	VBD
,	,	in	IN	,	,	police	NNS
while	IN	in	IN	,	,	a	DT
And	CC	in	IN	,	,	the	DT
south	NN	of	IN	,	,	near	IN
,	,	near	IN	.	.	*	END
in	IN	the	DT	Strip	NN	has	VBZ
the	DT	Gaza	NN	has	VBZ	killed	VBN
in	IN	central	JJ	.	.	*	END
the	DT	northern	JJ	Strip	NN	.	.
northern	JJ	Gaza	NN	.	.	*	END
meets	NNS	in	IN	on	IN	May	NNP
meets	NNS	with	IN	President	NNP	Barack	NN
Obama	NN	in	IN	this	DT	week	NN
*	*	*	START	has	VBZ	ordered	VBN
in	IN	the	DT	East	NN	Khabarovsk	NNP
the	DT	Far	NN	Khabarovsk	NNP	territory	NN
Far	NN	East	NN	territory	NN	.	.
demonstrators	NNS	in	IN	have	VB	protested	VBN
of	IN	a	DT	naval	NN	frigate	NN
frigate	NN	in	IN	,	,	the	DT
port	NN	where	WRB	's	POS	Black	NN
reports	NNS	from	IN	say	VB	the	DT
*	*	*	START	's	POS	navy	NNS
says	VBZ	the	DT	naval	NN	vessel	NN
agreement	NN	with	IN	,	,	Russia	NN
Ukraine	NN	,	,	will	MD	operate	NN
*	*	*	START	's	POS	campaign	NN
opposed	VBN	by	IN	,	,	which	WDT
alliance	NN	on	IN	's	POS	borders	NNS
*	*	*	START	's	POS	largest	JJS
protests	NNS	in	IN	Sunday	NNP	.	.
of	IN	a	DT	mosque	NN	,	,
two	CD	other	JJ	locations	NNS	.	.
for	IN	replacing	VBG	's	POS	secular	NN
group	NN	in	IN	's	POS	parliament	NN
*	*	*	START	says	VBZ	it	PRP
core	NN	of	IN	's	POS	strategic	JJ
shop	NN	in	IN	's	POS	capital	NN
buildings	NNS	in	IN	were	VBD	destroyed	NN
in	IN	eastern	JJ	blew	NN	himself	PRP
officers	NNS	in	IN	said	VBD	at	IN
the	DT	southwestern	NN	state	NN	of	IN
state	NN	of	IN	to	TO	attack	NN
the	DT	southern	JJ	border	NN	with	IN
border	NN	with	IN	.	.	*	END
by	IN	the	DT	government	NN	's	POS
tells	NNS	the	DT	Times	NNS	newspaper	NN
group	NN	in	IN	.	.	*	END
caught	NN	in	IN	.	.	*	END
Central	JJ	and	CC	America	NNP	into	IN
and	CC	South	NNP	into	IN	the	DT
into	IN	the	DT	States	NNS	.	.
the	DT	United	NNP	.	.	*	END
development	NN	in	IN	and	CC	a	DT
