W(i - 2)	T(i - 2)	W(i - 1)	T(i - 1)	W(i + 1)	T(i + 1)	W(i + 2)	T(i + 2)
in	IN	President	NNP	Clinton	NN	's	POS
President	NNP	Bill	NN	's	POS	administration	NN
He	PRP	succeeds	VBZ	Summers	NNS	,	,
succeeds	VBZ	Lawrence	NNP	,	,	another	DT
of	IN	the	DT	administration	NN	as	IN
Treasury	NNP	Secretary	NNP	Geithner	NN	.	.
Secretary	NNP	Timothy	NN	.	.	*	END
*	START	Mr.	NNP	made	VBN	the	DT
for	IN	the	DT	administration	NN	as	IN
,	,	Mr.	NNP	named	VBN	another	DT
official	NN	,	,	Daley	NN	,	,
,	,	William	NNP	,	,	as	IN
says	VBZ	37-year-old	JJ	Neskovic	NN	was	VBD
37-year-old	JJ	Dragan	NNP	was	VBD	arrested	VBN
Serb	NN	leader	NN	Karadzic	NNP	is	VBZ
leader	NN	Radovan	NN	is	VBZ	currently	RB
*	*	*	START	Alston	NNP	said	VBD
*	START	Philip	NNP	said	VBD	he	PRP
to	TO	Mr.	NNP	's	POS	request	NN
's	POS	revered	VBN	Bhumibol	NN	Adulyadej	NN
revered	VBN	King	VBG	Adulyadej	NN	warned	VBD
King	VBG	Bhumibol	NN	warned	VBD	that	IN
Palestinian	JJ	President	NNP	Abbas	NN	and	CC
President	NNP	Mahmoud	NN	and	CC	incoming	VBG
Prime	NNP	Minister	NNP	Haniyeh	NN	Friday	NNP
Minister	NNP	Ismail	NN	Friday	NNP	denounced	VBD
Major	JJ	General	NNP	Ghormley	NNP	says	VBZ
General	NNP	Timothy	NN	says	VBZ	officials	NNS
*	START	General	NNP	says	VBZ	the	DT
Prime	NNP	Minister	NNP	Zenawi	NN	warned	VBD
Minister	NNP	Meles	NNS	warned	VBD	an	DT
*	*	*	START	Obita	NN	,	,
*	START	James	NNP	,	,	the	DT
leader	NN	,	,	Omar	NN	al-Baghdadi	NN
,	,	Abu	NN	al-Baghdadi	NN	,	,
Abu	NN	Omar	NN	,	,	is	VBZ
commander	NN	General	NNP	Bergner	NN	previously	RB
General	NNP	Kevin	NNP	previously	RB	had	VBD
Brigadier	NNP	General	NNP	Hemingway	NN	said	VBD
General	NNP	Thomas	NNP	said	VBD	Wednesday	NNP
Authority	NN	President	NNP	Abbas	NN	.	.
President	NNP	Mahmoud	NN	.	.	*	END
activist	NN	near	IN	Younis	NN	,	,
near	IN	Khan	NNP	,	,	but	CC
politician	NN	,	,	al-Dulaymi	NN	.	.
,	,	Adnan	NN	.	.	*	END
at	IN	Mr.	NNP	's	POS	home	NN
,	,	spokesman	NN	Redmond	NN	said	VBD
spokesman	NN	Ron	NN	said	VBD	agency	NN
power	NN	under	IN	Hussein	NNP	.	.
under	IN	Saddam	NN	.	.	*	END
Arab	NN	,	,	al-Dulaimi	NN	,	,
,	,	Saadoun	NN	,	,	has	VBZ
Shi'ite	NN	(	(	Bahr	NN	al-Uloum	NN
(	(	Ibrahim	NN	al-Uloum	NN	)	)
Prime	NNP	Minister	NNP	Raza	NN	Gilani	NN
Minister	NNP	Yusuf	NN	Gilani	NN	condemned	VBN
Yusuf	NN	Raza	NN	condemned	VBN	the	DT
bail	NN	for	IN	Posada	NN	Carriles	NNS
for	IN	Luis	NN	Carriles	NNS	,	,
Luis	NN	Posada	NN	,	,	an	DT
the	DT	77-year-old	JJ	Carriles	NNS	in	IN
77-year-old	JJ	Posada	NN	in	IN	May	NNP
*	*	*	START	Carriles	NNS	is	VBZ
*	START	Posada	NN	is	VBZ	wanted	VBD
Pakistani	NN	President	NNP	Musharraf	NN	has	VBZ
President	NNP	Pervez	NN	has	VBZ	sought	NN
*	START	General	NNP	said	VBD	all	DT
official	NN	,	,	Aziz	NN	,	,
,	,	Saud	NN	,	,	says	VBZ
slaying	VBG	of	IN	Ziauddin	NN	in	IN
of	IN	Agha	NN	in	IN	the	DT
pressured	VBN	King	VBG	III	NN	,	,
King	VBG	MSWATI	NN	,	,	the	DT
judge	NN	,	,	Andreu	NN	,	,
,	,	Fernando	NN	,	,	ordered	VBN
Health	NNP	Minister	NNP	Qiang	NN	said	VBD
Minister	NNP	Gao	NN	said	VBD	at	IN
Prime	NNP	Minister	NNP	Stoltenberg	NN	and	CC
Minister	NNP	Jens	NNS	and	CC	Nobel-Prize	NN
winning	VBG	environmentalist	NN	Maathai	NN	on	IN
environmentalist	NN	Wangari	NNP	on	IN	Tuesday	NNP
Wanted	VBD	terrorist	NN	Musab	NN	al-Zarqawi	NN
terrorist	NN	Abu	NN	al-Zarqawi	NN	's	POS
Abu	NN	Musab	NN	's	POS	group	NN
him	PRP	as	IN	Mohanna	NN	,	,
as	IN	Shahdi	NN	,	,	the	DT
Palestinian	JJ	leader	NN	Abbas	NN	until	IN
leader	NN	Mahmoud	NN	until	IN	the	DT
Afghan	NNP	President	NNP	Karzai	NNP	meets	NNS
President	NNP	Hamid	NN	meets	NNS	with	IN
U.S.	NNP	President	NNP	Obama	NN	in	IN
President	NNP	Barack	NN	in	IN	Washington	NNP
*	*	*	START	said	VBD	the	DT
the	DT	stationary	JJ	system	NN	already	RB
analysts	NNS	say	VB	missiles	NNS	were	VBD
*	*	*	START	Gilchrist	NN	,	,
*	START	James	NNP	,	,	a	DT
leaders	NNS	of	IN	Salvatrucha	NN	or	CC
of	IN	Mara	NN	or	CC	MS-13	NN
Prime	NNP	Minister	NNP	Berlusconi	NNP	apologize	VB
Minister	NNP	Silvio	NN	apologize	VB	for	IN
,	,	Mr.	NNP	used	VBN	a	DT
after	IN	Mr.	NNP	traded	VBN	insults	NNS
center-left	NN	leader	NN	Prodi	NN	.	.
leader	NN	Romano	NN	.	.	*	END
with	IN	Mr.	NNP	calling	VBG	Prodi	NN
'	''	and	CC	saying	VBG	the	DT
*	START	Mr.	NNP	,	,	who	WP
,	,	Mr.	NNP	said	VBD	-	:
*	*	*	START	Abe	NN	,	,
*	START	Shinzo	NN	,	,	acting	VBG
Security	NN	Adviser	NNP	Hadley	NNP	said	VBD
Adviser	NNP	Stephen	NNP	said	VBD	a	DT
Swiss	JJ	drugmaker	NN	said	VBD	it	PRP
official	NN	,	,	Chan	NN	,	,
,	,	Margaret	NNP	,	,	told	NN
Prime	NNP	Minister	NNP	Yekhanurov	NN	says	VBZ
Minister	NNP	Yury	NN	says	VBZ	the	DT
But	CC	Mr.	NNP	says	VBZ	experts	NNS
reporters	NNS	,	,	Shwe	NN	Oo	NN
,	,	Aung	NN	Oo	NN	and	CC
Aung	NN	Shwe	NN	and	CC	his	PRP$
daughter	NN	,	,	Sint	NN	Sint	NN
,	,	Daw	NN	Sint	NN	Aung	NN
Daw	NN	Sint	NN	Aung	NN	,	,
Sint	NN	Sint	NN	,	,	both	DT
Ohio	NN	Representative	JJ	Ney	NN	is	VBZ
Representative	JJ	Bob	NN	is	VBZ	the	DT
that	IN	lobbyist	NN	Abramoff	NN	said	VBD
lobbyist	NN	Jack	NNP	said	VBD	accepted	JJ
Texas	NNP	representative	NN	DeLay	NN	stepped	VBD
ties	NNS	to	TO	and	CC	some	DT
carrying	VBG	Ethiopian-born	JJ	Issac	NN	,	,
Ethiopian-born	JJ	Hamdi	NN	,	,	also	RB
known	VBN	as	IN	Hussain	NN	,	,
as	IN	Osman	NN	,	,	left	NN
*	*	*	START	Issac	NN	has	VBZ
*	START	Hamdi	NN	has	VBZ	admitted	VBN
U.S.	NNP	President	NNP	Bush	NNP	expressed	VBN
President	NNP	George	NNP	expressed	VBN	concern	NN
Chilean	NN	dictator	NN	Pinochet	NN	has	VBZ
dictator	NN	Augusto	NN	has	VBZ	been	VBN
*	START	Judge	NNP	Montiglio	NN	charged	VBN
Judge	NNP	Victor	NN	charged	VBN	General	NNP
charged	VBN	General	NNP	in	IN	connection	NN
*	START	Mr.	NNP	's	POS	indictment	NN
police	NNS	,	,	Contreras	NNS	,	,
,	,	Manuel	NN	,	,	to	TO
*	START	General	NNP	,	,	who	WP
Bolivian	JJ	President	NNP	Morales	NNS	also	RB
President	NNP	Evo	NN	also	RB	is	VBZ
Brazilian	JJ	counterpart	NN	Inacio	NN	Lula	NN
counterpart	NN	Luiz	NN	Lula	NN	da	NN
Luiz	NN	Inacio	NN	da	NN	Silva	NN
Inacio	NN	Lula	NN	Silva	NN	to	TO
Lula	NN	da	NN	to	TO	discuss	NN
's	POS	President	NNP	Duarte	NN	has	VBZ
President	NNP	Nicanor	NN	has	VBZ	threatened	VBN
criticized	VBN	President	NNP	's	POS	proposal	NN
*	START	Senator	NN	Kerry	NNP	,	,
Senator	NN	John	NNP	,	,	the	DT
Democratic	JJ	Senator	NN	Salazar	NN	,	,
Senator	NN	Ken	NNP	,	,	from	IN
*	START	President	NNP	says	VBZ	his	PRP$
Authorities	NNS	say	VB	Saboor	NN	Farid	NN
say	VB	Abdul	NN	Farid	NN	was	VBD
Abdul	NN	Saboor	NN	was	VBD	killed	VBN
*	START	Mr.	NNP	was	VBD	Afghanistan	NNP
leader	NN	,	,	Ali	NN	al-Nuimei	NN
,	,	Ibrahim	NN	al-Nuimei	NN	,	,
Ibrahim	NN	Ali	NN	,	,	and	CC
ousted	VBN	leader	NN	Hussein	NNP	is	VBZ
leader	NN	Saddam	NN	is	VBZ	scheduled	VBN
*	*	*	START	administration	NN	scientists	NNS
*	*	*	START	Sisco	NN	reports	NNS
*	START	Paul	NNP	reports	NNS	.	.
of	IN	Defense	NN	Rumsfeld	NN	paid	NN
Defense	NN	Donald	NNP	paid	NN	a	DT
as	IN	Mr.	NNP	visited	VBN	U.S.	NNP
Prime	NNP	Minister	NNP	Allawi	NN	.	.
Minister	NNP	Iyad	NN	.	.	*	END
security	NN	,	,	Shaowu	NN	,	,
,	,	Liu	NN	,	,	made	VBN
VOA	NN	's	POS	Pearson	NN	reports	NNS
's	POS	Carol	NN	reports	NNS	.	.
Australia	NNP	chief	NN	Costello	NN	says	VBZ
chief	NN	Tim	NN	says	VBZ	the	DT
*	START	Mr.	NNP	says	VBZ	the	DT
aid	NN	worker	NN	Hassan	NNP	.	.
worker	NN	Margaret	NNP	.	.	*	END
operations	NNS	,	,	Hushiar	NN	,	,
,	,	Mohammed	VBN	,	,	was	VBD
says	VBZ	the	DT	administration	NN	is	VBZ
's	POS	President	NNP	Talabani	NN	on	IN
President	NNP	Jalal	NN	on	IN	Friday	NNP
says	VBZ	Ms.	NNP	and	CC	Vice	NNP
Vice	NNP	President	NNP	Cheney	NN	conveyed	NN
President	NNP	Dick	NNP	conveyed	NN	the	DT
meeting	NN	with	IN	Abdul	NN	Mahdi	NN
with	IN	Adil	NN	Mahdi	NN	,	,
Adil	NN	Abdul	NN	,	,	a	DT
Prime	NNP	Minister	NNP	Olmert	NN	is	VBZ
Minister	NNP	Ehud	NN	is	VBZ	scheduled	VBN
Palestinian	JJ	President	NNP	Abbas	NN	Wednesday	NNP
President	NNP	Mahmoud	NN	Wednesday	NNP	in	IN
Palestinian	JJ	negotiator	NN	Erekat	NN	said	VBD
negotiator	NN	Saeb	NN	said	VBD	the	DT
at	IN	Mr.	NNP	's	POS	official	NN
since	IN	Mr.	NNP	announced	VBD	that	IN
Prime	NNP	Minister	NNP	al-Maliki	NN	says	VBZ
Minister	NNP	Nouri	NN	says	VBZ	the	DT
execution	NN	of	IN	Hussein	NNP	and	CC
of	IN	Saddam	NN	and	CC	how	WRB
conductor	NN	,	,	Rostropovich	NNP	,	,
,	,	Mstislav	NN	,	,	who	WP
Russian	JJ	President	NNP	Putin	NN	visited	VBN
President	NNP	Vladimir	NN	visited	VBN	the	DT
medal	NN	honoring	VBG	for	IN	his	PRP$
*	*	*	START	and	CC	his	PRP$
,	,	soprano	NN	Vishnevskaya	NN	,	,
soprano	NN	Galina	NNP	,	,	left	NN
Prime	NNP	Minister	NNP	Sharon	NN	's	POS
Minister	NNP	Ariel	NN	's	POS	plan	NN
tennis	NN	star	NN	Agassi	NN	has	VBZ
star	NN	Andre	NN	has	VBZ	been	VBN
Spain	NNP	's	POS	Garcia-Lopez	NN	,	,
's	POS	Guillermo	NNP	,	,	06-Apr	NN
defending	VBG	champion	NN	Malisse	NN	of	IN
champion	NN	Xavier	NN	of	IN	Belgium	NN
The	DT	third-seeded	JJ	rallied	VBD	after	IN
eliminate	NN	sixth-seeded	JJ	Mayer	NN	of	IN
sixth-seeded	JJ	Florian	JJ	of	IN	Germany	NNP
,	,	fourth-seeded	JJ	Haas	NN	of	IN
fourth-seeded	JJ	Tommy	NN	of	IN	Germany	NNP
Luxembourg	NN	's	POS	Muller	NN	in	IN
's	POS	Gilles	NNS	in	IN	straight	NN
eighth-seeded	JJ	American	JJ	Spadea	NN	,	,
American	JJ	Vince	NN	,	,	a	DT
Prime	NNP	Minister	NNP	Hariri	NN	.	.
Minister	NNP	Rafik	NN	.	.	*	END
killed	VBN	Mr.	NNP	and	CC	20	CD
lady	NN	-	:	Rodham	NN	Clinton	NN
-	:	Hillary	JJ	Clinton	NN	have	VB
Hillary	JJ	Rodham	NN	have	VB	confirmed	VBN
*	START	Senator	NN	is	VBZ	facing	VBG
*	START	Mrs.	NNP	's	POS	former	JJ
Neither	CC	Mrs.	NNP	nor	CC	her	PRP$
pro-democracy	NN	leader	NN	San	NNP	Suu	NN
leader	NN	Aung	NN	Suu	NN	Kyi	NNP
Aung	NN	San	NNP	Kyi	NNP	met	NN
San	NNP	Suu	NN	met	NN	Saturday	NNP
talks	NNS	with	IN	Nambiar	NN	,	,
with	IN	Vijay	NN	,	,	chief	NN
*	*	*	START	also	RB	met	NN
*	START	Egyptian-born	JJ	Musa	NN	Matwali	NN
Egyptian-born	JJ	Muhsin	NN	Matwali	NN	Atwah	NN
Muhsin	NN	Musa	NN	Atwah	NN	was	VBD
Musa	NN	Matwali	NN	was	VBD	wanted	VBD
*	START	Pope	NN	XVI	NN	has	VBZ
Pope	NN	Benedict	NN	has	VBZ	visited	VBN
Lieutenant	NN	General	NNP	Barno	NN	told	NN
General	NNP	David	NNP	told	NN	reporters	NNS
*	START	General	NNP	said	VBD	he	PRP
's	POS	ex-chancellor	NN	Kohl	NNP	,	,
ex-chancellor	NN	Helmut	NN	,	,	former	JJ
U.S.	NNP	president	NN	Herbert	NN	Walker	NN
president	NN	George	NNP	Walker	NN	Bush	NNP
George	NNP	Herbert	NN	Bush	NNP	,	,
Herbert	NN	Walker	NN	,	,	and	CC
Soviet	JJ	leader	NN	Gorbachev	NNP	were	VBD
leader	NN	Mikhail	NN	were	VBD	honored	VBN
Former	NN	Chancellor	NNP	now	RB	speaks	NNS
the	DT	so-called	JJ	Curtain	NN	and	CC
so-called	JJ	Iron	NN	and	CC	the	DT
