W(i - 2)	T(i - 2)	W(i - 1)	T(i - 1)	W(i + 1)	T(i + 1)	W(i + 2)	T(i + 2)
death	NN	,	,	World	NN	Health	NNP
,	,	the	DT	Health	NNP	Organization	NN
the	DT	World	NN	Organization	NN	says	VBZ
World	NN	Health	NNP	says	VBZ	227	CD
the	DT	former	JJ	Ministry	NNP	in	IN
former	JJ	Defense	NN	in	IN	southern	JJ
*	START	The	DT	Union	NNP	has	VBZ
The	DT	African	JJ	has	VBZ	deployed	NN
,	,	which	WDT	Ababa	NN	plans	NNS
which	WDT	Addis	NN	plans	NNS	to	TO
army	NN	's	POS	Command	NN	-	:
's	POS	Northern	NNP	-	:	has	VBZ
,	,	said	VBD	Adam	NN	has	VBZ
said	VBD	General	NNP	has	VBZ	asked	VBN
war	NN	against	IN	guerrillas	NNS	in	IN
*	START	The	DT	for	IN	Science	NN
The	DT	Institute	NNP	Science	NN	and	CC
Institute	NNP	for	IN	and	CC	International	NNP
for	IN	Science	NN	International	NNP	Security	NN
Science	NN	and	CC	Security	NN	reports	NNS
and	CC	International	NNP	reports	NNS	that	IN
Pakistan	NN	's	POS	Ministry	NNP	spokeswoman	NN
's	POS	Foreign	NN	spokeswoman	NN	Tasnim	NN
facilities	NNS	at	IN	are	VBP	well	RB
*	START	The	DT	Diabetes	NNS	Association	NNP
The	DT	American	JJ	Association	NNP	reports	NNS
American	JJ	Diabetes	NNS	reports	NNS	the	DT
*	*	*	START	's	POS	June	NNP
head	NN	the	DT	of	IN	American	JJ
the	DT	Organization	NN	American	JJ	States	NNS
Organization	NN	of	IN	States	NNS	and	CC
of	IN	American	JJ	and	CC	other	JJ
infighting	VBG	between	IN	and	CC	the	DT
U.S.	NNP	automaker	NN	has	VBZ	opened	VBN
Calderon	NNP	said	VBD	's	POS	sixth	NNS
engine	NN	for	IN	,	,	Dodge	NN
Chrysler	NNP	,	,	,	,	Jeep	NN
drug	NN	maker	NN	is	VBZ	not	RB
agreed	VBD	with	IN	that	IN	job	NN
claim	NN	that	IN	failed	VBD	to	TO
first	RB	,	,	was	VBD	ordered	VBN
Speaking	VBG	to	TO	News	NNS	interviewer	NN
to	TO	ABC	NNP	interviewer	NN	Dianne	NN
3	CD	on	IN	Morning	VBG	America	NNP
on	IN	Good	JJ	America	NNP	,	,
Good	JJ	Morning	VBG	,	,	and	CC
outside	IN	of	IN	University	NNP	of	IN
of	IN	the	DT	of	IN	Virginia	NNP
the	DT	University	NNP	Virginia	NNP	Friday	NNP
University	NNP	of	IN	Friday	NNP	that	IN
the	DT	powerful	JJ	Armed	VBN	Services	NNS
powerful	JJ	Senate	NNP	Services	NNS	Committee	NNP
Senate	NNP	Armed	VBN	Committee	NNP	has	VBZ
Armed	VBN	Services	NNS	has	VBZ	openly	RB
fight	NN	for	IN	control	NN	in	IN
in	IN	the	DT	.	.	*	END
80-year-old	JJ	former	JJ	secretary	NN	will	MD
*	START	The	DT	Nations	NNS	says	VBZ
The	DT	United	NNP	says	VBZ	December	NNP
*	START	The	DT	's	POS	Food	NN
The	DT	U.N.	NNP	Food	NN	and	CC
U.N.	NNP	's	POS	and	CC	Agricultural	JJ
's	POS	Food	NN	Agricultural	JJ	Organization	NN
Food	NN	and	CC	Organization	NN	(	(
and	CC	Agricultural	JJ	(	(	FAO	NN
Agricultural	JJ	Organization	NN	FAO	NN	)	)
Organization	NN	(	(	)	)	said	VBD
*	START	The	DT	's	POS	estimate	NN
on	IN	the	DT	Security	NN	Council	NN
the	DT	U.N.	NNP	Council	NN	and	CC
U.N.	NNP	Security	NN	and	CC	Tokyo	NNP
the	DT	official	NN	news	NN	agency	NN
*	START	The	DT	Delivery	NN	Authority	NN
The	DT	Olympic	NN	Authority	NN	has	VBZ
Olympic	NN	Delivery	NN	has	VBZ	promised	VBN
of	IN	a	DT	aircraft	NN	in	IN
*	START	A	DT	spokesman	NN	says	VBZ
supporting	VBG	a	DT	mission	NN	in	IN
comes	VBZ	as	IN	forces	NNS	launched	VBN
and	CC	the	DT	's	POS	kidnapping	NN
*	START	The	DT	Press	NN	quotes	NNS
The	DT	Associated	VBN	quotes	NNS	a	DT
quotes	NNS	a	DT	Defense	NN	Department	NNP
a	DT	U.S.	NNP	Department	NNP	spokeswoman	NN
U.S.	NNP	Defense	NN	spokeswoman	NN	as	IN
government	NN	and	CC	World	NN	Health	NNP
and	CC	the	DT	Health	NNP	Organization	NN
the	DT	World	NN	Organization	NN	say	VB
World	NN	Health	NNP	say	VB	three	CD
contracted	VBN	the	DT	form	NN	of	IN
of	IN	the	DT	investigation	NN	into	IN
in	IN	the	DT	program	NN	.	.
*	START	Former	NN	Federal	JJ	Reserve	NNP
Former	NN	U.S.	NNP	Reserve	NNP	Chairman	NNP
U.S.	NNP	Federal	JJ	Chairman	NNP	Paul	NNP
to	TO	the	DT	Nations	NNS	Security	NN
the	DT	United	NNP	Security	NN	Council	NN
United	NNP	Nations	NNS	Council	NN	.	.
Nations	NNS	Security	NN	.	.	*	END
*	START	The	DT	Nations	NNS	created	VBN
The	DT	United	NNP	created	VBN	the	DT
Kyrgyzstan	NNP	's	POS	Ministry	NNP	says	VBZ
's	POS	Justice	NN	says	VBZ	four	CD
France	NNP	and	CC	.	.	*	END
of	IN	the	DT	Arab	NN	Emirates	NNS
the	DT	United	NNP	Emirates	NNS	,	,
United	NNP	Arab	NN	,	,	started	VBN
*	START	The	DT	Department	NNP	Friday	NNP
The	DT	Labor	NN	Friday	NNP	issued	VBN
Labor	NN	Department	NNP	issued	VBN	a	DT
say	VB	the	DT	of	IN	Labor	NN
the	DT	Department	NNP	Labor	NN	report	NN
Department	NNP	of	IN	report	NN	will	MD
meeting	NN	,	,	Defense	NN	Minister	NNP
,	,	Colombian	JJ	Minister	NNP	Juan	NN
,	,	the	DT	Commission	NNP	on	IN
the	DT	U.S.	NNP	on	IN	International	NNP
U.S.	NNP	Commission	NNP	International	NNP	Religious	JJ
Commission	NNP	on	IN	Religious	JJ	Freedom	NN
on	IN	International	NNP	Freedom	NN	said	VBD
International	NNP	Religious	JJ	said	VBD	China	NNP
statement	NN	Saturday	NNP	Foreign	NN	Ministry	NNP
Saturday	NNP	Chinese	JJ	Ministry	NNP	spokesman	NN
Chinese	JJ	Foreign	NN	spokesman	NN	Liu	NN
*	*	*	START	House	NNP	officials	NNS
*	START	White	NNP	officials	NNS	say	VB
of	IN	the	DT	's	POS	Resistance	NN
the	DT	Lord	NN	Resistance	NN	Army	NN
Lord	NN	's	POS	Army	NN	are	VBP
's	POS	Resistance	NN	are	VBP	nearing	VBG
of	IN	the	DT	.	.	*	END
of	IN	five	CD	officials	NNS	sought	NN
sought	NN	by	IN	International	NNP	Criminal	JJ
by	IN	the	DT	Criminal	JJ	Court	NNP
the	DT	International	NNP	Court	NNP	for	IN
International	NNP	Criminal	JJ	for	IN	alleged	VBN
*	*	*	START	fighters	NNS	are	VBP
of	IN	the	DT	Classic	JJ	in	IN
the	DT	Kooyong	NNP	in	IN	Melbourne	NN
on	IN	his	PRP$	of	IN	Tennis	NN
his	PRP$	Association	NNP	Tennis	NN	Professionals	NNS
Association	NNP	of	IN	Professionals	NNS	Tour	NN
of	IN	Tennis	NN	Tour	NN	record	NN
Tennis	NN	Professionals	NNS	record	NN	.	.
*	START	The	DT	Space	NN	Agency	NN
The	DT	European	JJ	Agency	NN	says	VBZ
European	JJ	Space	NN	says	VBZ	it	PRP
surface	NN	of	IN	's	POS	moon	NN
's	POS	moon	NN	.	.	*	END
to	TO	the	DT	spacecraft	NN	while	IN
landing	VBG	on	IN	's	POS	largest	JJS
But	CC	a	DT	High	JJ	Court	NNP
a	DT	Ugandan	NN	Court	NNP	Judge	NNP
Ugandan	NN	High	JJ	Judge	NNP	,	,
High	JJ	Court	NNP	,	,	John	NNP
because	IN	the	DT	Court	NNP	had	VBD
the	DT	High	JJ	had	VBD	suspended	VBN
in	IN	the	DT	House	NNP	Rose	VB
the	DT	White	NNP	Rose	VB	Garden	NN
White	NNP	House	NNP	Garden	NN	Monday	NNP
House	NNP	Rose	VB	Monday	NNP	as	IN
in	IN	the	DT	of	IN	Representatives	NNS
the	DT	House	NNP	Representatives	NNS	say	VB
House	NNP	of	IN	say	VB	they	PRP
the	DT	wealthy	NN	countries	NNS	to	TO
eligible	JJ	for	IN	Bank	NNP	debt	NN
for	IN	World	NN	debt	NN	relief	NN
Bolivia	NN	,	,	Faso	NN	,	,
,	,	Burkina	NNP	,	,	Ethiopia	NN
Tehran	NN	's	POS	Quality	NN	Control	NN
's	POS	Air	NNP	Control	NN	Company	NN
Air	NNP	Quality	NN	Company	NN	has	VBZ
Quality	NN	Control	NN	has	VBZ	found	NN
militant	NN	organization	NN	Armed	VBN	Islamic	NNP
organization	NN	the	DT	Islamic	NNP	Group	NNP
the	DT	Armed	VBN	Group	NNP	.	.
Armed	VBN	Islamic	NNP	.	.	*	END
*	START	The	DT	Nations	NNS	says	VBZ
The	DT	United	NNP	says	VBZ	Sudanese	JJ
and	CC	the	DT	refugee	NN	agency	NN
*	START	The	DT	says	VBZ	the	DT
*	START	The	DT	says	VBZ	the	DT
*	START	Joint	JJ	of	IN	Staff	NN
Joint	JJ	Chiefs	NNS	Staff	NN	Chairman	NNP
Chiefs	NNS	of	IN	Chairman	NNP	Mike	NN
violate	NN	the	DT	Nations	NNS	charter	NN
the	DT	United	NNP	charter	NN	.	.
*	START	The	DT	Embassy	NN	in	IN
The	DT	British	JJ	in	IN	Sudan	NN
*	START	The	DT	Embassy	NN	has	VBZ
The	DT	British	JJ	has	VBZ	advised	VBN
*	START	The	DT	news	NN	agency	NN
's	POS	hard-line	NN	Council	NN	has	VBZ
hard-line	NN	Guardian	JJ	has	VBZ	approved	VBN
would	MD	block	NN	Nations	NNS	inspections	NNS
block	NN	United	NNP	inspections	NNS	of	IN
to	TO	the	DT	Security	NN	Council	NN
the	DT	U.N.	NNP	Council	NN	.	.
U.N.	NNP	Security	NN	.	.	*	END
for	IN	an	DT	Union	NNP	summit	NN
an	DT	African	JJ	summit	NN	.	.
of	IN	the	DT	African	JJ	Development	NNP
the	DT	Southern	JJ	Development	NNP	Community	NNP
Southern	JJ	African	JJ	Community	NNP	.	.
African	JJ	Development	NNP	.	.	*	END
of	IN	the	DT	Economic	JJ	Council	NN
the	DT	National	NNP	Council	NN	,	,
National	NNP	Economic	JJ	,	,	which	WDT
counselor	NN	to	TO	Secretary	NNP	Timothy	NN
in	IN	the	DT	of	IN	Representatives	NNS
the	DT	House	NNP	Representatives	NNS	,	,
House	NNP	of	IN	,	,	and	CC
,	,	replacing	VBG	Emmanuel	NN	.	.
replacing	VBG	Rahm	NN	.	.	*	END
been	VBN	a	DT	Nations	NNS	safe	JJ
a	DT	United	NNP	safe	JJ	haven	NN
*	START	The	DT	war	NN	crimes	NNS
's	POS	official	NN	news	NN	agency	NN
with	IN	the	DT	Provincial	JJ	Archaeological	JJ
the	DT	Shaanxi	NN	Archaeological	JJ	Research	NN
Shaanxi	NN	Provincial	JJ	Research	NN	Institute	NNP
Provincial	JJ	Archaeological	JJ	Institute	NNP	as	IN
Archaeological	JJ	Research	NN	as	IN	saying	VBG
*	START	A	DT	Nations	NNS	expert	NN
A	DT	United	NNP	expert	NN	on	IN
clashes	NNS	between	IN	Israeli	JJ	army	NN
between	IN	the	DT	army	NN	and	CC
the	DT	Israeli	JJ	and	CC	Palestinian	JJ
of	IN	the	DT	Fatah	NN	Party	NNP
the	DT	mainstream	NN	Party	NNP	.	.
mainstream	NN	Fatah	NN	.	.	*	END
and	CC	incoming	VBG	Prime	NNP	Minister	NNP
Lord	NN	's	POS	Army	NN	rebels	NNS
's	POS	Resistance	NN	rebels	NNS	are	VBP
issued	VBN	by	IN	International	NNP	Criminal	JJ
by	IN	the	DT	Criminal	JJ	Court	NNP
the	DT	International	NNP	Court	NNP	.	.
International	NNP	Criminal	JJ	.	.	*	END
,	,	tells	NNS	the	DT	rebels	NNS
*	*	*	START	fighters	NNS	are	VBP
*	START	The	DT	Criminal	JJ	Court	NNP
The	DT	International	NNP	Court	NNP	has	VBZ
International	NNP	Criminal	JJ	has	VBZ	indicted	VBN
*	START	The	DT	has	VBZ	demanded	VBD
*	START	The	DT	State	NN	of	IN
The	DT	Islamic	NNP	of	IN	Iraq	NN
Islamic	NNP	State	NN	Iraq	NN	says	VBZ
State	NN	of	IN	says	VBZ	the	DT
*	START	The	DT	army	NN	said	VBD
The	DT	Iraqi	NN	said	VBD	it	PRP
*	*	*	START	Force	NN	Brigadier	NNP
*	START	Air	NNP	Brigadier	NNP	General	NNP
*	*	*	START	Center	NNP	for	IN
*	START	Meantime	RB	for	IN	Constitutional	JJ
Meantime	RB	Center	NNP	Constitutional	JJ	Rights	NNS
Center	NNP	for	IN	Rights	NNS	said	VBD
for	IN	Constitutional	JJ	said	VBD	some	DT
*	START	An	DT	Army	NN	spokesman	NN
An	DT	Afghan	NNP	spokesman	NN	said	VBD
Sunday	NNP	,	,	and	CC	the	DT
and	CC	the	DT	Resistance	NN	Committees	NNS
the	DT	Popular	NN	Committees	NNS	said	VBD
Popular	NN	Resistance	NN	said	VBD	they	PRP
March	NNP	by	IN	Authority	NN	President	NNP
by	IN	Palestinian	JJ	President	NNP	Mahmoud	NN
club	NN	for	IN	Nations	NNS	workers	NNS
for	IN	United	NNP	workers	NNS	and	CC
Baghdad	NN	's	POS	Zone	NN	,	,
's	POS	Green	JJ	,	,	which	WDT
says	VBZ	the	DT	army	NN	has	VBZ
the	DT	Iraqi	NN	has	VBZ	captured	VBN
military	JJ	says	VBZ	Special	JJ	Forces	NNS
says	VBZ	U.S.	NNP	Forces	NNS	advised	VBN
U.S.	NNP	Special	JJ	advised	VBN	the	DT
advised	VBN	the	DT	army	NN	in	IN
the	DT	Iraqi	NN	in	IN	all	DT
*	START	The	DT	Nations	NNS	reports	NNS
The	DT	United	NNP	reports	NNS	a	DT
*	START	The	DT	refugee	NN	agency	NN
accept	NN	a	DT	peacekeeping	VBG	force	NN
rejecting	VBG	any	DT	deployment	NN	to	TO
,	,	the	DT	Human	NNP	Rights	NNS
the	DT	Sunni	NN	Rights	NNS	appointee	NN
Sunni	NN	Human	NNP	appointee	NN	Hashem	NN
Human	NNP	Rights	NNS	Hashem	NN	Ashibli	NN
Rights	NNS	appointee	NN	Ashibli	NN	quickly	RB
appointee	NN	Hashem	NN	quickly	RB	turned	VBD
*	START	A	DT	Arab	NN	,	,
A	DT	Sunni	NN	,	,	Saadoun	NN
of	IN	the	DT	Ministry	NNP	Zoba	NN
the	DT	Transportation	NN	Zoba	NN	Yass	NN
Transportation	NN	Ministry	NNP	Yass	NN	and	CC
Ministry	NNP	Zoba	NN	and	CC	his	PRP$
*	START	The	DT	Department	NNP	report	NN
The	DT	Labor	NN	report	NN	,	,
A	DT	second	JJ	Department	NNP	report	NN
second	JJ	Labor	NN	report	NN	Thursday	NNP
asylum-seeking	NN	former	JJ	operative	JJ	from	IN
Thursday	NNP	,	,	Musharraf	NN	promised	VBN
,	,	General	NNP	promised	VBN	'	''
by	IN	the	DT	Centers	NNS	for	IN
the	DT	U.S.	NNP	for	IN	Disease	NN
U.S.	NNP	Centers	NNS	Disease	NN	Control	NN
Centers	NNS	for	IN	Control	NN	,	,
for	IN	Disease	NN	,	,	would	MD
*	START	The	DT	also	RB	called	VBN
by	IN	the	DT	in	IN	1940	CD
joined	VBD	both	DT	and	CC	the	DT
and	CC	the	DT	in	IN	the	DT
*	START	The	DT	United	NNP	Democratic	JJ
The	DT	African	JJ	Democratic	JJ	Party	NNP
African	JJ	United	NNP	Party	NNP	tried	VBN
United	NNP	Democratic	JJ	tried	VBN	unsuccessfully	RB
boy	NN	into	IN	Rhymes	NNS	.	.
into	IN	Nursery	NN	.	.	*	END
The	DT	official	NN	news	NN	agency	NN
China	NNP	's	POS	Ministry	NNP	uncovered	JJ
's	POS	Health	NNP	uncovered	JJ	more	RBR
Thursday	NNP	,	,	Prime	NNP	Minister	NNP
,	,	Israeli	JJ	Minister	NNP	Ariel	NN
Israeli	JJ	Prime	NNP	Ariel	NN	Sharon	NN
Prime	NNP	Minister	NNP	Sharon	NN	announced	VBD
Minister	NNP	Ariel	NN	announced	VBD	an	DT
until	IN	the	DT	Authority	NN	moves	NNS
the	DT	Palestinian	JJ	moves	NNS	decisively	RB
news	NN	organizations	NNS	and	CC	the	DT
shouted	VBN	'	''	out	IN	'	''
Ukraine	NN	's	POS	says	VBZ	the	DT
to	TO	win	NN	membership	NN	has	VBZ
Salvatrucha	NN	or	CC	have	VB	sent	NN
from	IN	the	DT	Alliance	NN	for	IN
the	DT	National	NNP	for	IN	Human	NNP
National	NNP	Alliance	NN	Human	NNP	Rights	NNS
Alliance	NN	for	IN	Rights	NNS	are	VBP
for	IN	Human	NNP	are	VBP	going	VBG
*	START	The	DT	Bank	NNP	has	VBZ
The	DT	World	NN	has	VBZ	approved	VBN
also	RB	loaning	VBG	Salvador	NN	$	$
loaning	VBG	El	NN	$	$	27	CD
calling	VBG	for	IN	economic	JJ	sanctions	NNS
's	POS	ruling	NN	Democratic	JJ	Party	NNP
ruling	NN	Liberal	JJ	Party	NNP	,	,
Liberal	JJ	Democratic	JJ	,	,	said	VBD
television	NN	program	NN	News	NNS	Sunday	NNP
program	NN	Fox	NN	Sunday	NNP	,	,
*	*	*	START	National	NNP	Security	NN
*	START	U.S.	NNP	Security	NN	Adviser	NNP
U.S.	NNP	National	NNP	Adviser	NNP	Stephen	NNP
heavily	RB	fortified	VBN	Zone	NN	,	,
fortified	VBN	Green	JJ	,	,	where	WRB
*	*	*	START	Union	NNP	Health	NNP
*	START	European	JJ	Health	NNP	Commissioner	NN
European	JJ	Union	NNP	Commissioner	NN	Markos	NN
Union	NNP	Health	NNP	Markos	NN	Kypriano	NNP
Health	NNP	Commissioner	NN	Kypriano	NNP	says	VBZ
Commissioner	NN	Markos	NN	says	VBZ	the	DT
says	VBZ	the	DT	is	VBZ	increasing	VBG
*	START	The	DT	pledged	VBN	the	DT
*	START	The	DT	Bank	NNP	and	CC
The	DT	World	NN	and	CC	World	NN
World	NN	Bank	NNP	World	NN	Health	NNP
Bank	NNP	and	CC	Health	NNP	Organization	NN
and	CC	World	NN	Organization	NN	are	VBP
World	NN	Health	NNP	are	VBP	hoping	VBG
*	START	A	DT	Health	NNP	Organization	NN
A	DT	World	NN	Organization	NN	official	NN
World	NN	Health	NNP	official	NN	,	,
*	START	The	DT	Development	NNP	Bank	NNP
The	DT	Inter-American	JJ	Bank	NNP	says	VBZ
Inter-American	JJ	Development	NNP	says	VBZ	the	DT
The	DT	official	NN	news	NN	agency	NN
reports	NNS	the	DT	Council	NN	moved	VBN
the	DT	State	NN	moved	VBN	on	IN
*	*	*	START	Without	IN	Borders	NNS
*	START	Reporters	NNS	Borders	NNS	and	CC
Reporters	NNS	Without	IN	and	CC	the	DT
and	CC	the	DT	Media	NNP	Association	NNP
the	DT	Burma	NN	Association	NNP	welcomed	VBD
Burma	NN	Media	NNP	welcomed	VBD	the	DT
work	NN	for	IN	News	NNS	Network	NN
for	IN	Nippon	NN	Network	NN	's	POS
Nippon	NN	News	NNS	's	POS	Bangkok	NN
of	IN	the	DT	Ocean	NNP	floor	NN
the	DT	Indian	JJ	floor	NN	show	NN
from	IN	a	DT	committee-chairman	NN	position	NN
relinquish	NN	a	DT	leadership	NN	post	NN
,	,	the	DT	Administration	NN	Committee	NNP
the	DT	House	NNP	Committee	NNP	.	.
House	NNP	Administration	NN	.	.	*	END
down	RB	as	IN	Majority	NN	Leader	NN
as	IN	House	NNP	Leader	NN	late	RB
House	NNP	Majority	NN	late	RB	last	JJ
*	START	The	DT	Corps	NN	of	IN
The	DT	Army	NN	of	IN	Engineers	NNS
Army	NN	Corps	NN	Engineers	NNS	says	VBZ
Corps	NN	of	IN	says	VBZ	20	CD
of	IN	the	DT	Guard	NN	in	IN
the	DT	National	NNP	in	IN	a	DT
At	IN	the	DT	House	NNP	Tuesday	NNP
the	DT	White	NNP	Tuesday	NNP	,	,
General	NNP	for	IN	Reconstruction	NN	indicates	NNS
for	IN	Iraq	NN	indicates	NNS	the	DT
says	VBZ	'	''	's	POS	unsettled	JJ
sent	NN	to	TO	Congress	NNP	based	VBN
to	TO	U.S.	NNP	based	VBN	its	PRP$
from	IN	the	DT	Labor	NN	Department	NNP
the	DT	U.S.	NNP	Department	NNP	compiled	VBN
U.S.	NNP	Labor	NN	compiled	VBN	from	IN
trade	NN	bloc	NN	are	VBP	meeting	NN
member	NN	of	IN	,	,	formed	VBN
about	IN	1657	CD	)	)	,	,
which	WDT	the	DT	Geological	JJ	Survey	NN
the	DT	U.S.	NNP	Survey	NN	says	VBZ
U.S.	NNP	Geological	JJ	says	VBZ	killed	VBN
to	TO	avoid	NN	coast	NN	guard	NN
avoid	NN	Yemeni	NN	guard	NN	patrols	NNS
Yemeni	NN	coast	NN	patrols	NNS	.	.
,	,	the	DT	High	JJ	Commissioner	NN
the	DT	U.N.	NNP	Commissioner	NN	for	IN
U.N.	NNP	High	JJ	for	IN	Refugees	NNS
,	,	the	DT	defense	NN	ministry	NN
the	DT	British	JJ	ministry	NN	says	VBZ
British	JJ	defense	NN	says	VBZ	a	DT
*	*	*	START	has	VBZ	launched	VBN
*	START	The	DT	States	NNS	Government	NN
The	DT	United	NNP	Government	NN	,	,
United	NNP	States	NNS	,	,	Wednesday	NNP
from	IN	the	DT	International	NNP	Atomic	NNP
the	DT	U.N.	NNP	Atomic	NNP	Energy	NNP
U.N.	NNP	International	NNP	Energy	NNP	Agency	NN
International	NNP	Atomic	NNP	Agency	NN	will	MD
Atomic	NNP	Energy	NNP	will	MD	travel	NN
,	,	the	DT	Nations	NNS	'	''
the	DT	United	NNP	'	''	nuclear	JJ
*	START	The	DT	Security	NN	Council	NN
The	DT	U.N.	NNP	Council	NN	has	VBZ
U.N.	NNP	Security	NN	has	VBZ	imposed	VBN
's	POS	restive	NN	Delta	NNP	region	NN
restive	NN	Niger	NN	region	NN	.	.
the	DT	oil-rich	JJ	Delta	NNP	.	.
oil-rich	JJ	Niger	NN	.	.	*	END
*	*	*	START	Treasury	NNP	officials	NNS
*	START	U.S.	NNP	officials	NNS	have	VB
militant	NN	organization	NN	.	.	*	END
coordinated	VBN	with	IN	leaders	NNS	and	CC
*	START	The	DT	Olympic	NN	Committee	NNP
The	DT	International	NNP	Committee	NNP	bars	NNS
International	NNP	Olympic	NN	bars	NNS	demonstrations	NNS
to	TO	the	DT	Obesity	NN	Task	NN
the	DT	International	NNP	Task	NN	Force	NN
International	NNP	Obesity	NN	Force	NN	.	.
Obesity	NN	Task	NN	.	.	*	END
*	*	*	START	's	POS	Carol	NN
doing	VBG	in	IN	will	MD	be	VB
to	TO	leave	VB	before	IN	the	DT
*	START	The	DT	York	NNP	Times	NNS
The	DT	New	NNP	Times	NNS	newspaper	NN
New	NNP	York	NNP	newspaper	NN	says	VBZ
newspaper	NN	says	VBZ	of	IN	State	NN
says	VBZ	Secretary	NNP	State	NN	Condoleezza	NN
Secretary	NNP	of	IN	Condoleezza	NN	Rice	NN
of	IN	State	NN	Rice	NN	telephoned	VBN
State	NN	Condoleezza	NN	telephoned	VBN	Iraq	NN
Rice	NN	telephoned	VBN	's	POS	President	NNP
in	IN	a	DT	House	NNP	meeting	NN
a	DT	White	NNP	meeting	NN	with	IN
after	IN	his	PRP$	Party	NNP	chooses	NNS
